[MS Spectrum]
# of Peaks	442
Raw Spectrum	20.633 (scan : 5291)
Background	No Background Spectrum
Base Peak	m/z 110.05 (Inten : 471,765)
Event#	1
m/z	Absolute Intensity	Relative Intensity
29.05	12361	2.62
30.00	278	0.06
31.00	78	0.02
32.00	284	0.06
33.00	13	0.00
34.00	10	0.00
35.00	21	0.00
36.00	18	0.00
37.00	29	0.01
38.00	212	0.04
39.00	4452	0.94
40.05	781	0.17
41.05	25798	5.47
42.05	3739	0.79
43.05	69168	14.66
44.05	2377	0.50
45.00	95	0.02
46.00	36	0.01
47.00	8	0.00
48.00	42	0.01
49.00	26	0.01
50.00	410	0.09
51.00	479	0.10
52.00	673	0.14
53.00	3319	0.70
54.05	2163	0.46
55.05	18749	3.97
56.05	3430	0.73
57.05	7737	1.64
58.10	359	0.08
59.10	16	0.00
60.10	46	0.01
61.10	14	0.00
62.00	103	0.02
63.00	911	0.19
64.00	1806	0.38
65.00	4698	1.00
66.00	1657	0.35
67.05	1986	0.42
68.05	437	0.09
69.05	2754	0.58
70.00	290	0.06
71.00	95	0.02
72.00	27	0.01
73.00	60	0.01
74.00	68	0.01
75.00	158	0.03
76.00	868	0.18
77.00	1172	0.25
78.00	569	0.12
79.05	949	0.20
80.05	483	0.10
81.00	6841	1.45
82.00	4622	0.98
83.05	3078	0.65
84.05	475	0.10
85.10	4198	0.89
86.10	286	0.06
87.10	46	0.01
88.10	49	0.01
89.10	41	0.01
90.10	113	0.02
91.00	598	0.13
92.00	409	0.09
93.00	4282	0.91
94.05	1767	0.37
95.05	4328	0.92
96.00	369	0.08
97.00	111	0.02
98.00	41	0.01
99.00	47	0.01
100.00	38	0.01
101.00	31	0.01
102.00	18	0.00
103.00	231	0.05
104.00	73	0.02
105.00	298	0.06
106.00	154	0.03
107.05	1613	0.34
108.05	712	0.15
109.05	13596	2.88
110.05	471765	100.00
111.05	34245	7.26
112.00	3220	0.68
113.00	236	0.05
115.00	74	0.02
116.00	22	0.00
117.00	60	0.01
118.00	79	0.02
119.00	209	0.04
120.00	126	0.03
121.00	450	0.10
122.05	332	0.07
123.05	12001	2.54
124.00	1071	0.23
125.00	110	0.02
126.00	65	0.01
127.00	18	0.00
128.00	41	0.01
129.00	41	0.01
130.00	34	0.01
131.00	74	0.02
132.00	18	0.00
133.00	238	0.05
134.00	42	0.01
135.00	345	0.07
136.05	919	0.19
137.05	769	0.16
138.00	130	0.03
139.00	24	0.01
140.00	5	0.00
141.00	26	0.01
142.00	19	0.00
143.00	39	0.01
144.00	10	0.00
145.00	46	0.01
146.00	47	0.01
147.00	74	0.02
148.00	65	0.01
149.00	329	0.07
150.05	385	0.08
151.05	1030	0.22
152.10	193	0.04
153.10	38	0.01
155.10	44	0.01
156.10	16	0.00
157.10	29	0.01
158.10	27	0.01
159.10	8	0.00
160.10	8	0.00
161.10	27	0.01
162.10	2	0.00
163.10	94	0.02
164.10	156	0.03
165.05	365	0.08
166.00	70	0.01
167.00	31	0.01
168.00	30	0.01
170.00	5	0.00
171.00	16	0.00
172.00	31	0.01
173.00	13	0.00
174.00	8	0.00
175.00	27	0.01
176.00	14	0.00
177.00	50	0.01
178.00	121	0.03
179.00	143	0.03
180.00	33	0.01
181.00	42	0.01
182.00	44	0.01
183.00	13	0.00
185.00	29	0.01
186.00	10	0.00
187.00	29	0.01
188.00	13	0.00
189.00	5	0.00
190.00	24	0.01
191.00	2	0.00
192.00	95	0.02
193.15	701	0.15
194.10	67847	14.38
195.05	8908	1.89
196.05	874	0.19
197.00	92	0.02
198.00	24	0.01
199.00	14	0.00
200.00	33	0.01
202.00	14	0.00
203.00	10	0.00
204.00	5	0.00
206.10	30	0.01
207.05	2638	0.56
208.10	369	0.08
209.10	41	0.01
210.10	22	0.00
211.10	36	0.01
213.10	5	0.00
214.10	3	0.00
215.10	24	0.01
216.10	11	0.00
217.10	21	0.00
218.10	16	0.00
219.10	16	0.00
220.10	55	0.01
221.10	57	0.01
222.10	5	0.00
223.10	6	0.00
224.10	6	0.00
225.10	42	0.01
226.10	8	0.00
227.10	19	0.00
228.10	21	0.00
229.10	13	0.00
230.10	29	0.01
231.10	24	0.01
232.10	27	0.01
233.10	13	0.00
234.10	38	0.01
235.10	58	0.01
236.10	44	0.01
237.10	24	0.01
238.10	6	0.00
239.10	33	0.01
240.10	13	0.00
241.10	24	0.01
242.10	16	0.00
243.10	22	0.00
244.10	26	0.01
245.10	30	0.01
246.10	19	0.00
247.10	46	0.01
248.10	60	0.01
249.10	162	0.03
250.10	68	0.01
251.10	27	0.01
252.10	16	0.00
253.10	29	0.01
254.10	26	0.01
255.10	33	0.01
256.10	19	0.00
257.10	44	0.01
258.10	18	0.00
259.10	24	0.01
261.10	10	0.00
262.10	21	0.00
263.10	52	0.01
264.10	29	0.01
265.10	36	0.01
266.10	50	0.01
267.10	30	0.01
268.10	8	0.00
269.10	24	0.01
270.10	38	0.01
271.10	11	0.00
272.10	27	0.01
274.10	13	0.00
275.10	21	0.00
276.10	97	0.02
277.20	222	0.05
278.20	80297	17.02
279.20	15383	3.26
280.20	1812	0.38
281.20	202	0.04
282.20	33	0.01
283.20	11	0.00
284.20	38	0.01
286.20	11	0.00
287.20	31	0.01
288.20	2	0.00
289.20	19	0.00
290.20	41	0.01
291.20	34	0.01
293.20	3	0.00
294.20	2	0.00
295.20	31	0.01
296.20	21	0.00
297.20	22	0.00
298.20	14	0.00
299.20	41	0.01
301.20	14	0.00
302.20	30	0.01
304.20	10	0.00
305.20	6	0.00
306.20	5	0.00
307.20	19	0.00
308.20	3	0.00
309.20	22	0.00
310.20	21	0.00
312.20	16	0.00
313.20	26	0.01
314.20	31	0.01
315.20	21	0.00
316.20	27	0.01
317.20	19	0.00
318.20	2	0.00
319.20	22	0.00
320.20	19	0.00
321.20	24	0.01
322.20	21	0.00
323.20	54	0.01
324.20	34	0.01
325.20	18	0.00
326.20	16	0.00
327.20	10	0.00
328.20	22	0.00
329.20	18	0.00
331.20	29	0.01
332.20	10	0.00
333.20	5	0.00
334.20	2	0.00
335.20	16	0.00
338.20	3	0.00
339.20	11	0.00
340.20	6	0.00
341.20	62	0.01
342.20	18	0.00
343.20	31	0.01
344.20	19	0.00
346.20	30	0.01
347.20	16	0.00
348.20	10	0.00
349.20	2	0.00
350.20	19	0.00
351.20	36	0.01
352.20	16	0.00
353.20	29	0.01
354.20	3	0.00
355.20	8	0.00
356.20	42	0.01
357.20	21	0.00
359.20	49	0.01
361.20	31	0.01
362.20	22	0.00
363.20	24	0.01
364.20	27	0.01
365.20	13	0.00
366.20	46	0.01
368.20	46	0.01
369.20	44	0.01
370.20	33	0.01
371.20	33	0.01
372.20	16	0.00
373.20	30	0.01
374.20	36	0.01
375.20	31	0.01
376.20	19	0.00
377.20	21	0.00
378.20	27	0.01
379.20	16	0.00
380.20	21	0.00
381.20	52	0.01
382.20	24	0.01
383.20	5	0.00
384.20	38	0.01
386.20	6	0.00
387.20	10	0.00
388.20	19	0.00
389.20	42	0.01
390.20	6	0.00
391.20	31	0.01
392.20	3	0.00
394.20	24	0.01
395.20	3	0.00
396.20	27	0.01
397.20	19	0.00
398.20	19	0.00
399.20	21	0.00
401.20	41	0.01
403.20	13	0.00
404.20	26	0.01
405.20	31	0.01
406.20	24	0.01
408.20	21	0.00
410.20	29	0.01
411.20	13	0.00
412.20	19	0.00
413.20	18	0.00
414.20	42	0.01
415.20	34	0.01
416.20	33	0.01
417.20	13	0.00
418.20	41	0.01
419.20	30	0.01
420.20	13	0.00
421.20	2	0.00
422.20	21	0.00
423.20	26	0.01
424.20	2	0.00
425.20	60	0.01
426.20	5	0.00
427.20	5	0.00
428.20	27	0.01
430.20	19	0.00
431.20	44	0.01
432.20	34	0.01
433.20	24	0.01
434.20	8	0.00
435.20	44	0.01
436.20	14	0.00
437.20	6	0.00
438.20	54	0.01
439.20	34	0.01
440.20	39	0.01
441.20	27	0.01
442.20	10	0.00
443.20	57	0.01
444.20	29	0.01
445.20	34	0.01
446.20	54	0.01
447.20	3	0.00
448.20	31	0.01
449.20	18	0.00
450.20	29	0.01
451.20	21	0.00
452.20	3	0.00
453.20	22	0.00
454.20	22	0.00
455.20	16	0.00
456.20	31	0.01
457.20	13	0.00
458.20	30	0.01
459.20	2	0.00
460.20	11	0.00
461.20	11	0.00
462.20	18	0.00
463.20	30	0.01
464.20	16	0.00
465.20	11	0.00
466.20	24	0.01
467.20	11	0.00
468.20	42	0.01
469.20	22	0.00
470.20	27	0.01
471.20	33	0.01
473.20	29	0.01
474.20	30	0.01
475.20	44	0.01
476.20	33	0.01
477.20	22	0.00
478.20	3	0.00
479.20	11	0.00
480.20	24	0.01
481.20	8	0.00
483.20	26	0.01
484.20	2	0.00
485.20	16	0.00
486.20	29	0.01
487.20	31	0.01
488.20	39	0.01
489.20	19	0.00
490.20	19	0.00
491.20	33	0.01
492.20	21	0.00
493.20	46	0.01
494.20	30	0.01
495.20	19	0.00
496.20	39	0.01
497.20	27	0.01
498.20	63	0.01
499.20	19	0.00
500.20	24	0.01
