[MS Spectrum]
# of Peaks	679
Raw Spectrum	29.540 (scan : 7963)
Background	No Background Spectrum
Base Peak	m/z 55.10 (Inten : 50,001)
Event#	1
m/z	Absolute Intensity	Relative Intensity
29.15	7359	14.72
30.10	127	0.25
31.10	73	0.15
32.10	404	0.81
33.10	66	0.13
36.10	34	0.07
37.10	106	0.21
38.10	161	0.32
39.10	3086	6.17
40.15	817	1.63
41.10	31890	63.78
42.10	4529	9.06
43.10	30250	60.50
44.10	1153	2.31
45.10	68	0.14
46.10	31	0.06
47.10	22	0.04
49.10	38	0.08
50.10	167	0.33
51.10	215	0.43
52.10	209	0.42
53.05	2096	4.19
54.15	2444	4.89
55.10	50001	100.00
56.10	7634	15.27
57.10	29954	59.91
58.10	1215	2.43
59.10	58	0.12
60.10	26	0.05
61.10	121	0.24
61.95	607	1.21
63.05	3025	6.05
64.10	569	1.14
65.10	604	1.21
66.05	566	1.13
67.05	7198	14.40
68.10	4260	8.52
69.10	44870	89.74
70.10	8489	16.98
71.10	14455	28.91
72.10	833	1.67
73.10	196	0.39
74.05	630	1.26
75.05	2604	5.21
76.00	366	0.73
77.00	537	1.07
78.00	250	0.50
79.05	1027	2.05
80.05	623	1.25
81.05	6101	12.20
82.10	6694	13.39
83.10	25762	51.52
84.10	4364	8.73
85.10	9706	19.41
86.10	702	1.40
87.10	19	0.04
88.10	44	0.09
89.10	170	0.34
90.10	158	0.32
91.05	848	1.70
92.00	273	0.55
93.00	426	0.85
94.10	249	0.50
95.10	4041	8.08
96.10	4218	8.44
97.10	33236	66.47
98.10	3382	6.76
99.10	1694	3.39
100.10	169	0.34
101.10	2	0.00
102.10	29	0.06
103.10	212	0.42
104.10	215	0.43
105.00	606	1.21
106.00	154	0.31
106.95	1144	2.29
108.10	177	0.35
109.05	4080	8.16
110.10	2282	4.56
111.10	17959	35.92
112.15	2147	4.29
113.10	282	0.56
114.10	36	0.07
115.10	89	0.18
116.10	78	0.16
117.10	289	0.58
118.10	474	0.95
119.10	407	0.81
120.10	196	0.39
121.00	670	1.34
122.10	68	0.14
123.10	3724	7.45
124.15	1571	3.14
125.15	7464	14.93
126.20	828	1.66
127.20	108	0.22
128.20	50	0.10
129.20	79	0.16
130.20	47	0.09
131.20	290	0.58
132.20	289	0.58
133.00	372	0.74
133.95	530	1.06
134.95	3249	6.50
136.10	489	0.98
137.05	4643	9.29
138.10	948	1.90
139.10	490	0.98
140.10	164	0.33
141.10	146	0.29
141.90	148	0.30
142.90	993	1.99
143.90	273	0.55
145.00	961	1.92
146.00	225	0.45
147.00	300	0.60
148.00	9177	18.35
149.00	2095	4.19
150.00	8850	17.70
151.00	1833	3.67
152.00	110	0.22
153.00	244	0.49
153.90	698	1.40
154.90	420	0.84
155.95	1744	3.49
156.90	300	0.60
158.00	998	2.00
159.00	138	0.28
160.00	94	0.19
161.00	316	0.63
162.00	4839	9.68
163.00	1073	2.15
164.00	4543	9.09
165.00	1017	2.03
166.15	601	1.20
167.20	649	1.30
168.20	140	0.28
169.20	121	0.24
169.90	129	0.26
170.95	862	1.72
171.95	968	1.94
173.00	841	1.68
173.95	890	1.78
174.90	409	0.82
176.00	1028	2.06
177.00	902	1.80
178.00	991	1.98
179.00	530	1.06
180.00	110	0.22
181.00	49	0.10
182.00	24	0.05
183.00	94	0.19
184.00	302	0.60
185.00	306	0.61
186.00	254	0.51
187.00	262	0.52
188.00	178	0.36
189.00	346	0.69
190.00	762	1.52
191.00	705	1.41
192.05	648	1.30
193.00	521	1.04
194.00	60	0.12
195.00	54	0.11
196.00	46	0.09
197.00	114	0.23
198.00	78	0.16
199.00	135	0.27
200.00	71	0.14
201.00	74	0.15
202.00	153	0.31
203.00	522	1.04
204.00	398	0.80
205.00	681	1.36
206.00	362	0.72
207.00	614	1.23
208.00	124	0.25
209.00	129	0.26
210.00	26	0.05
211.00	226	0.45
212.00	108	0.22
213.00	180	0.36
214.00	47	0.09
215.00	47	0.09
216.00	62	0.12
217.00	233	0.47
218.00	441	0.88
219.00	266	0.53
220.00	370	0.74
221.00	212	0.42
222.00	127	0.25
223.00	362	0.72
224.00	217	0.43
225.00	202	0.40
226.00	119	0.24
227.00	108	0.22
228.00	86	0.17
229.00	70	0.14
230.00	19	0.04
231.00	13	0.03
231.80	22	0.04
232.80	722	1.44
233.80	105	0.21
234.80	1242	2.48
235.80	142	0.28
236.80	719	1.44
237.80	126	0.25
238.80	119	0.24
239.80	57	0.11
240.80	63	0.13
241.80	3	0.01
242.80	50	0.10
243.80	31	0.06
244.80	2	0.00
246.10	681	1.36
247.10	150	0.30
248.05	663	1.33
248.80	185	0.37
249.85	17061	34.12
250.85	2003	4.01
251.85	31306	62.61
252.85	3473	6.95
253.85	15394	30.79
254.80	1572	3.14
255.80	154	0.31
256.80	78	0.16
257.80	47	0.09
258.80	66	0.13
259.80	52	0.10
261.80	42	0.08
262.80	470	0.94
263.80	86	0.17
264.85	670	1.34
265.90	87	0.17
266.90	457	0.91
267.90	84	0.17
268.90	57	0.11
269.90	11	0.02
270.90	41	0.08
271.90	24	0.05
272.90	62	0.12
273.90	31	0.06
274.90	39	0.08
275.90	122	0.24
276.90	19	0.04
277.90	118	0.24
278.90	57	0.11
279.90	70	0.14
280.90	169	0.34
281.90	89	0.18
282.90	124	0.25
283.90	39	0.08
284.90	50	0.10
285.90	94	0.19
286.90	29	0.06
287.90	29	0.06
288.90	63	0.13
289.90	49	0.10
290.90	68	0.14
291.90	47	0.09
292.90	74	0.15
293.90	63	0.13
294.90	19	0.04
295.90	8	0.02
296.90	82	0.16
297.90	18	0.04
298.90	66	0.13
299.90	31	0.06
300.90	49	0.10
302.90	26	0.05
303.90	49	0.10
304.90	13	0.03
305.90	44	0.09
308.90	39	0.08
309.90	47	0.09
310.90	14	0.03
311.90	11	0.02
313.90	55	0.11
314.90	79	0.16
315.90	2	0.00
318.90	44	0.09
319.90	49	0.10
320.90	19	0.04
321.90	33	0.07
322.90	6	0.01
323.90	55	0.11
324.90	34	0.07
325.90	22	0.04
326.90	42	0.08
327.90	3	0.01
328.90	5	0.01
329.90	16	0.03
330.90	58	0.12
333.90	33	0.07
334.90	71	0.14
335.90	41	0.08
336.90	194	0.39
337.90	124	0.25
338.90	244	0.49
339.90	167	0.33
340.90	60	0.12
341.90	22	0.04
343.90	42	0.08
344.90	27	0.05
345.90	50	0.10
346.90	39	0.08
347.90	19	0.04
348.90	31	0.06
349.90	39	0.08
350.90	66	0.13
351.90	30	0.06
352.90	31	0.06
353.90	55	0.11
354.90	31	0.06
355.90	71	0.14
356.90	3	0.01
358.90	29	0.06
359.90	34	0.07
360.90	18	0.04
362.90	31	0.06
364.90	60	0.12
365.90	46	0.09
366.90	86	0.17
367.90	21	0.04
368.90	55	0.11
370.90	57	0.11
371.90	41	0.08
372.90	49	0.10
373.90	13	0.03
375.90	81	0.16
376.90	3	0.01
380.90	13	0.03
381.90	6	0.01
382.90	5	0.01
384.90	18	0.04
385.90	11	0.02
386.90	44	0.09
387.90	60	0.12
388.90	63	0.13
390.90	34	0.07
391.90	57	0.11
